Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Montagnarde Altitude 6	Brasserie de l’Abbaye des Rocs	Blonde ale	6.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	No longer in production
Brune	Brasserie de l’Abbaye des Rocs	Donker	9.0	30.0	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	Available
Seaking Blond	Huisbier	Blond	6.5	N/A	Klemskerke	https://www.huisbier.be/nl/	Available
Montagnarde	Brasserie de l’Abbaye des Rocs	Sterke ale amber	9.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	No longer in production
Achel Blond 8	De Achelse Kluis - Achel	Sterke ale blond	8.0	20.0	HAMONT-ACHEL	https://achelsekluis.org/nl	No longer in production
Blanche des Honnelles	Brasserie de l’Abbaye des Rocs	Witbier	6.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	Available
Smisje Bananenbier	Smisje	Fruitbier banaan	6.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Dubbel	Smisje	Dubbel abdij	9.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Dubbel Dadel	Smisje	Dubbel abdij	9.0	N/A	Oudenaarde	https://smisje.wordpress.com/	
Smisje Honingbier	Smisje	Honingbier	6.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Kerst	Smisje	Sterke ale donker	11.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Tripel	Smisje	Tripel	9.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
't Zelfde	Bosteels	Blonde ale	6.1	N/A	Buggenhout	https://bosteelsbrewery.com/	No longer in production
621	Authentique	Dubbel	7.0	27.0	Blaton	https://www.authentiquebrasserie.be/	No longer in production
Seaking Bruin	Huisbier	Donker	8.5	N/A	Klemskerke	https://www.huisbier.be/nl/	Available
Seaking Tripel	Huisbier	Tripel	8.5	N/A	Klemskerke	https://www.huisbier.be/nl/	Available
Bistro Zee Zee	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	Available
