beer_name	username	taste_rating
Daas Ambré	TheJestersBeer	6
Daas Ambré	Svesse	6
Daas Ambré	Ungstrup	6
Daas Ambré	fiulijn	6
Daas Ambré	cgarvieuk	6
Daas Ambré	oh6gdx	6
Daas Ambré	Papsoe	6
Daas Ambré	joergen	4
Daas Blond	maeib	5
Daas Blond	gnoff	6
Daas Blond	rlgk	5
Daas Blond	Svesse	6
Daas Blond	joergen	6
Daas Blond	harrisoni	6
Daas Blond	KnutAlbert	7
Daas Blond	Hugh	7
Daas Blond	wyzzywyz22	5
Daas Blond	KimJohansen	6
Daas Blond	MiP	7
Daas Blond	DonMagi	7
Daas Blond	Fin	4
Daas Blond	PJClarke	6
Ribeaubière	fiulijn	7
Ne Kopstoot	Borup	7
Ne Kopstoot	NoiZe	7
Ne Kopstoot	Benzai	7
Ne Kopstoot	psilosophy	6
Ne Kopstoot	altonbrownd	7
Ne Kopstoot	Abio	6
Ne Kopstoot	oh6gdx	6
Ne Kopstoot	Fin	6
Ne Kopstoot	faroeviking	7
Ne Kopstoot	yespr	6
Ne Kopstoot	Yves	7
Ne Kopstoot	DruncanVeasey	6
Ne Kopstoot	BoBoChamp	5
Ne Kopstoot	MiP	7
Ne Kopstoot	JoeinEscazú	8
Ne Kopstoot	Jerre	6
Ne Kopstoot	JorisPPattyn	7
Ne Kopstoot	Papsoe	5
Ne Kopstoot	diabel	5
Ne Kopstoot	rlgk	6
Ne Kopstoot	Hildigöltur	5
Ne Kopstoot	bierkoning	7
Ne Kopstoot	caesar	7
Ne Kopstoot	jerohen	8
Ne Kopstoot	omhper	6
Ne Kopstoot	jbrus	7
Daas Witte	TheJestersBeer	6
Daas Witte	Ungstrup	6
Daas Witte	fiulijn	6
Daas Witte	fonefan	6
Daas Witte	Svesse	6
Daas Witte	Papsoe	7
Daas Witte	yespr	6
Daas Witte	johninmelb	5
Daas Witte	Bov	5
Palm Green	Yves	3
Palm Green	txspartan	3
Palm Green	bierkoning	3
Palm Green	heavy	1
Palm Green	Abio	4
Palm Green	halfonit	3
Palm Green	NoiZe	4
Palm Green	duff	4
Palm Green	Dedollewaitor	3
Palm Green	KimJohansen	3
Palm Green	faroeviking	6
Palm Green	ogivlado	5
Palm Green	note666	3
Palm Green	omhper	3
Palm Green	Jerre	4
Palm Green	TrefwoordPunk	3
Palm Green	fonefan	3
Palm Green	oh6gdx	5
Palm Green	gnoff	2
Palm Green	oberabcbbsok	4
Palm Green	MiP	6
Palm Green	sayravai	5
Palm Green	Bart	2
Palm Green	Sten	4
Palm Green	Herculescf	2
Palm Green	dortmunder	3
Palm Green	JorisPPattyn	3
Palm Green	jerohen	2
Palm Green	Hildigöltur	4
Palm Green	Kåstå	7
Palm Green	OlJuntan64	6
Palm Sauvin	PotjeBier	6
Palm Sauvin	JanEric	6
Palm Sauvin	Wim	4
Palm Sauvin	chrisv10	5
Palm Sauvin	DutchDrebus	6
Palm Sauvin	Countbeer	4
Palm Sauvin	Martinus	5
Brugge Blond	Zita	5
Brugge Blond	hawthorne00	7
Brugge Blond	Davros	6
Brugge Blond	TheGrandMaster	5
Brugge Blond	Pyobon	7
