beername	beer_style	alcohol_percentage	brewery	start_production	end_production	beer_rating
3 Pekkel	Golden Blonde	7.1	BeerSelect voor Scouts Ingelmunster	2020	2022	3.643
3 Schténg	Top Fermentation, Flemish Old Brown, Regional Beer	6	Brasserie Grain d'Orge, 4852 Hombourg, Provincie Luik gebrouwen voor het restaurant de Koning Boudewijntoren Panoramatoren Drielandenpunt Gemmenich	2002	Present	3.153
IV Saison	Season	6.5	Brasserie de Jandrain-Jandrenouille	2007	Present	3.638
V Cense	Top Fermentation, Special Belgian	7.5	Brasserie de Jandrain-Jandrenouille	?	?	3.534
VI Wheat	Top Fermentation, Wheat Beer	6	Brasserie de Jandrain-Jandrenouille	?	?	3.516
7PK	Top Fermentation, Triple	7	Brouwerij Anders! voor VZW De Winning Maatwerk	2013	Present	3.391
26.2 M	Top Fermentation, Blond	6	Brasserie L'Échappée Belle	?	?	2.85
28 Brett	Cut, Amber	7.5	De Proefbrouwerij voor Caulier Developpement	?	Present	3.357
28 Pale Ale	Blond	5	De Proefbrouwerij voor Caulier Developpement	?	Present	3.258
28 Triple	Abbey Beer, Tripel	9	Brasserie De Proefbrouwerij voor Caulier Developpement	?	Present	3.452
44 Blanche	Top Fermentation, Wheat Beer	5.5	Brasserie de La Gleize	2014	?	3.025
44 Blonde	Top Fermentation, Blond	5.5	Brasserie de La Gleize	2014	?	3.552
44 Brune	Top Fermentation, Old Brown	5.5	Brasserie de la Gleize	2014	?	2.594
44 Brune Cuvée Spéciale	Top Fermentation, Old Brown	6.5	Brasserie de la Gleize	2014	?	2.594
44 Christmas	Top Fermentation, Christmas Beer	6	Brasserie de la Gleize	2014	?	3.243
44 Nuts Ambrée	Top Fermentation, Special Belgian	6	Brasserie de la Gleize	2014	?	2.932
44 Tiger Triple	Top Fermentation, Triple	8	Brasserie de la Gleize	2014	?	3.427
365 Pils Bière	Pilsner	4.7	Brouwerij Haacht voor Delhaize	?	?	2.194
421 Pintje	Top Fermentation, Blond, Spelled Beer	4.6	Brasserie Millevertus	?	?	3.18
400-Quadrigenti	Top Fermentation, Blond	5.6	't Hofbrouwerijke voor Brouwerij Montaigu	?	?	3.144
1414 Ambrosius	Top Fermentation, Blond, Refermentation In The Bottle	5	Brouwerij Anders! gebrouwen voor de 600 verjaardag van Weert, Nl	2014	?	3.286
1815	Top Fermentation, Special Belgian	7	Brasserie des Fagnes voor de Syndicat d'Initiative de Ligny, voor de herdenking van de slag bij Waterloo.	?	?	3.333
1842 by Caulier	Top Fermentation, Blond, Refermentation In The Bottle	9	Brasserie De Proefbrouwerij voor Caulier Developpement, Ghislenghien	?	?	3.426
2290 Vorselaar	Top Fermentation, Blond, Refermentation In The Bottle	6	Brouwerij Anders! brewed for Vzw Vorselazerus, Dorpsbier Vorselaar	2016	?	No Rating Found
Aardmonnik	Old Brown	8	De Struise Brouwers	'50	Present	3.914
Aarschotse Bruine	Brown	6	Stadsbrouwerij Aarschot	?	2012	2.919
Abbay d'Aulne Blonde des Pères 6	Abbey Beer, Blond	6	Brasserie Val de Sambre	1954	Present	No Rating Found
Abbay d'Aulne Brune des Pères 6	Abbey Beer, Brown	6	Brasserie Val de Sambre	1954	Present	3.365
Abbay d'Aulne Super Noël 9	Abbey Beer, Christmas Beer	9	Brasserie Val de Sambre	1954	Present	No Rating Found
Abbay d'Aulne Triple Blonde	Abbey Beer, Tripel	8	Brasserie Val de Sambre	1954	Present	3.623
Abbay d'Aulne Triple Brune	Abbey Beer, Tripel	8	Brasserie Val de Sambre	1954	Present	3.765
Abbay d'Aulne Val de Sambre	Abbey Beer, Amber	6.4	Brasserie Val de Sambre	1954	Present	3.2
Abbaye de Bonne-Espérance	Abbey Beer	7.8	Brouwerij Lefebvre	1970	Present	3.373
Abbaye de Forest	Abbey Beer, Tripel	6.5	Brasserie de Silly	2005	Present	3.286
Abbaye de la Thure	Abbey Beer	10	Brasserie Brootcoorens	?	?	3.439
Abbaye de Oudkerken	Abbey Beer	6.2	Brouwerij Lefebvre	?	?	3.012
Abbaye de Saint-Martin Blonde	Abbey Beer	7	Brasserie de Brunehaut	2002	Present	3.463
Abbaye de Saint-Martin Brune	Abbey Beer	8	Brasserie de Brunehaut	2002	Present	3.471
Abbaye de Saint-Martin Cuvée de Noël	Abbey Beer, Christmas Beer	8.5	Brasserie de Brunehaut	?	Present	3.306
Abbaye de Saint-Martin Triple	Abbey Beer, Tripel	9	Brasserie de Brunehaut	?	Present	3.609
Abbaye de Saint-Amands	Abbey Beer	7	Brouwerij Brunehaut	?	?	No Rating Found
Abbaye des Rocs Blonde	Abbey Beer, Top Fermentation	7.5	Brasserie de l'Abbaye des Rocs	1984	Present	3.152
Abbaye des Rocs Brune	Abbey Beer Brown	9	Brasserie de l'Abbaye des Rocs	1984	Present	3.642
Abbaye des Rocs Grand Cru	Abbey Beer Ale	9.5	Brasserie de l'Abbaye des Rocs	?	Present	3.753
Abbaye des Rocs Spéciale Noël	Abbey Beer, Christmas Beer	9	Brasserie de l'Abbaye des Rocs	?	Present	3.585
Abdis Blond	Blond	6.5	Brouwerij Riva	2006	2008	3.363
Abdis Bruin	Brown	6.5	Brouwerij Riva	2006	2008	3.447
Abdis Tripel	Triple	8.2	Brouwerij Riva	2006	2008	3.611
Abdij van Roosenberg Dubbel	Double	7	Brouwerij Van Steenberge	1971	Present	3.277
Abdij van Roosenberg Tripel	Triple	9	Brouwerij Van Steenberge	1971	Present	3.432
Abdij Vieille Villers Blond	Blond	NaN	Brouwerij Villers	?	?	No Rating Found
Abdij Vieille Villers Bruin	Brown	NaN	Brouwerij Villers	?	?	No Rating Found
Abdij Vieille Villers Tripel	Triple	NaN	Brouwerij Villers	?	?	No Rating Found
Abtei Himmerod Abteibier	Abbey Beer	NaN	Brouwerij Val-Dieu	?	?	3.76
Achel 5 Blond	Trappist, Blond	5	Achelse Kluis	1998	Present	3.513
Achel 5 Bruin	Trappist, Brown	5	Achelse Kluis	1998	Present	3.454
Achel 7	Trappist	7	Achelse Kluis	1999	2001	3.71
Achel 6	Trappist	6	Achelse Kluis	1999	2001	No Rating Found
Achel 8 Blond	Trappist, Blond	8	Achelse Kluis	2001	Present	3.666
Achel 8 Bruin	Trappist, Brown	8	Achelse Kluis	2001	Present	3.722
Achel Blond Extra	Trappist, Blond	9.5	Achelse Kluis	2010	Present	3.795
Achel Bruin Extra	Trappist, Brown	9.5	Achelse Kluis	?	Present	3.931
Ada 8	Nan	8	Brouwerij De Smedt voor Brasserie de l'Abbaye d'Aulne- ets Leveau	?	?	No Rating Found
Ada 10	Nan	10	Brouwerij De Smedt voor Brasserie de l'Abbaye d'Aulne- ets Leveau	?	?	3.275
Adelardus	Abbey Beer	7	Brouwerij Sint-Jozef voor Brouwerij Kerkom	2002	Present	3.508
Adelardus Tripel	Abbey Beer, Tripel	9	Brouwerij Sint-Jozef voor Brouwerij Kerkom	2005	Present	3.508
Adler	Pilsner	6.5	Brouwerij Haacht	1955	Present	3.726
Adriaen Brouwer	Top Fermentation, Brown	5	Brouwerij Roman	?	Present	3.608
Adriaen Brouwer Dark Gold	Top Fermentation, Brown	8.5	Brouwerij Roman	2008	2017	3.531
Adriaen Brouwer tripel	Top Fermentation, Triple	9	Brouwerij Roman	2018	Present	3.577
Aerts 1900	Nan	7.6	Brouwerij Palm	?	?	3.339
Adriaen Brouwer Oaked (vroeger winterwood)	Top Fermentation, Brown, Organic	10	Brouwerij Roman	2018	Present	No Rating Found
Affligem 10	Abbey Beer	10	Affligem Brouwerij (Heineken)	1983	1986	3.275
Affligem Blond	Abbey Beer, Blond	6.8	Affligem Brouwerij (vroeger Brouwerij De Smedt nu deel van Heineken)	?	Present	3.534
Affligem Dubbel	Abbey Beer, Brown	6.8	Affligem Brouwerij (Heineken)	1956	Present	3.452
Affligem 950 Cuvee	Abbey Beer, Blond	6.8	Affligem Brouwerij (Heineken)	2012	Present	3.752
Affligem Noël	Abbey Beer, Christmas Beer	9	Affligem Brouwerij (Heineken)	?	Present	3.703
Affligem Patersvat	Abbey Beer, Double Hopped	6.8	Affligem Brouwerij (Heineken)	?	Present	3.487
Affligem Rood	Abbey Beer	6.7	Affligem Brouwerij (Heineken)	?	1994	No Rating Found
Affligem Tripel	Abbey Beer, Tripel	8.5	Affligem Brouwerij (Heineken)	1957	Present	3.667
Agrumbocq	Top Fermentation, Wheat Beer, Fruit Beer	3.1	Brasserie du Bocq	?	Present	2.634
Airborne	Abbey Beer, Double	7.5	Brasserie De Bouillon voor Brasserie Lamborelle	?	?	3.669
Airborne Christmas	Christmas Beer	8	Brasserie De Bouillon voor Brasserie Lamborelle	?	?	3.238
Akila Pils	Pilsner	5	Brouwerij Louwaege	?	2002	No Rating Found
Alegonde Blond	Blond	7.5	Les Artisans Brasseurs	?	?	No Rating Found
Alegonde Bruin	Brown	8.5	Les Artisans Brasseurs	?	?	No Rating Found
Alegonde Special	Nan	NaN	Les Artisans Brasseurs	?	?	3.525
Alfoncine	Ruby Red	8.5	Brouwerij Strubbe voor Biofresh Gavere	?	Present	3.271
Alfred	Blond	7.5	Bierfirma Alfred	2016	Present	3.51
Alfri	After Lager	0.5	Brouwerij Roman	?	Present	No Rating Found
Alpaïde	Dark Triple	10	Brouwerij Nieuwhuys	2006	Present	3.585
Alpaïde Cuvée van de generaal	Blonde Triple	8.5	Brouwerij Nieuwhuys	2010	Present	3.513
Alpha	Amber	6	Brouwerij Anders! voor Brussels Beer Project	?	?	2.968
Altitude 6	Ale, Blond	6	Brasserie de l'Abbaye des Rocs	?	Present	3.916
Alvinne blond	Blond	6.3	Brouwerij Alvinne	2004	2008	3.664
Alvinne Extra Restyled	Light Amber	7	Brouwerij Alvinne	2005	2010	3.407
Alvinne Lex'ke	Blond	6.3	Brouwerij Alvinne	2008	?	3.15
Alvinne Tripel	Triple	8.7	Brouwerij Alvinne	2004	2010	3.439
Alvino Bourgogne Barrel OA	Fruit Beer, Oak Aged	5.5	Brouwerij Alvinne	?	Present	No Rating Found
Amber ale	Amber	NaN	Brouwerij Bios	?	?	3.496
Ambetanterik	Stout	8.7	Brouwerij Het Alternatief bij Brouwerij Alvinne	2010	?	3.371
Ambiorix	Reddish Brown	8	Brouwerij Slaghmuylder	1985	Present	3.24
Angélus Blonde	Blond	7	Brasserie Brootcoorens	?	Present	3.39
Angélus Brune	Brown	7	Brasserie Brootcoorens	?	Present	3.254
Angélus Spéciale Noël	Christmas Beer	9	Brasserie Brootcoorens	?	Present	3.219
Anker Blond	Blond	6.5	Brouwerij Het Anker	?	?	3.923
Anker Boscoulis	Fruit Beer	6.5	Brouwerij Het Anker	2004	2009	3.254
Anker Herfstbok	Brown Specialty Beer, Bock Beer	6.5	Brouwerij Het Anker	2003	Present	3.285
Anker Pils	Pilsner	nan	Brouwerij Het Anker	?	1960	2.994
Anker Pils	Pilsner	5	Brouwerij Het Anker	1998	Present	2.994
Antiek Blond	Blond	8	Brouwerij Deca	?	Present	3.177
Antiek Bruin	Brown	8	Brouwerij Deca	?	Present	3.354
Antiek Super 5 Blond	Blond	5	Brouwerij Deca	?	Present	3.177
Antiek	Nan	NaN	Brouwerij Villers	?	?	3.177
Antigoon	Blond	6.7	De Proefbrouwerij voor The Musketeers	2014	Present	3.394
Antwerps Blond	Blond	5	Huisbrouwerij 't Pakhuis	?	Present	3.303
Antwerps Bruin	Brown	5.8	Huisbrouwerij 't Pakhuis	?	Present	3.2
Antwerps wit bier	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Applebocq	Fruit Beer	3.1	Brasserie Du Bocq	?	Present	3.05
Arabier	Blond	8	De Dolle Brouwers	?	Present	3.47
Archiduc	Top Fermentation, Brown	5.2	Brasserie Caracole	?	?	3.145
Archiduc	Nan	6.2	Brasserie d'Ecaussinnes	?	?	3.145
Archiduc Archi-fine	Nan	NaN	Brasserie Impérial en Brasserie de Ghlin	?	?	No Rating Found
Archiduc Special	Nan	NaN	Brasserie Duvieusart	?	?	No Rating Found
Arend Blond	Blond	6.5	Brouwerij De Ryck	?	Present	3.388
Arend Dubbel	Dark Brown	6.5	Brouwerij De Ryck	?	Present	3.271
Arend Tripel	Golden Blonde	8	Brouwerij De Ryck	?	Present	3.598
Arend Winter	Dark Amber	6.3	Brouwerij De Ryck	1986	Present	3.271
Arendonker Bruin	Brown	8.5	Dorpsbrouwerij Humulus	2011	Present	3.216
Arendonker Tripel	Golden Blonde	8	Dorpsbrouwerij Humulus	2012	Present	3.386
Armand’4 Herfst	Old Geuze	6	Geuzestekerij 3 Fonteinen	2011	2015	4.599
Armand’4 Lente	Old Geuze	6	Geuzestekerij 3 Fonteinen	2011	Present	4.689
Armand’4 Winter	Old Geuze	6	Geuzestekerij 3 Fonteinen	2012	Present	4.582
Armand’4 Zomer	Old Geuze	6	Geuzestekerij 3 Fonteinen	2011	Present	4.641
Artevelde	Special Belgian	5.7	Brouwerij Huyghe	1985	Present	3.433
Artevelde Grand Cru	Reddish Brown	7.2	Brouwerij Huyghe	1987	Present	3.433
As Export	Nan	NaN	Brouwerij Villers	?	?	2.813
As Pils	Nan	NaN	Brouwerij Villers	?	?	2.898
As Ale	Nan	NaN	Brouwerij Villers	?	?	3.697
Asterie	Wheat Beer	4.9	Brasserie d'Ecaussinnes	?	?	4.047
Atomium Premier Grand Cru	Amber	8	Brouwerij Van Steenberge	?	?	3.869
Augrenette	Blond	4.5	Brouwerij Augrenoise	?	Present	No Rating Found
Augrenoise	Cloudy Blonde	6.5	Brouwerij Augrenoise	2001	Present	3.1
Augrenoise Blonde de Noël	Cloudy Blond, Christmas Beer	10	Brouwerij Augrenoise	?	?	3.207
Augustijn Blond	Abbey Beer	7.5	Brouwerij Van Steenberge	1978	Present	3.53
Augustijn Donker	Abbey Beer	7	Brouwerij Van Steenberge	1978	Present	3.505
Augustijn Grand Cru	Abbey Beer, Tripel	9	Brouwerij Van Steenberge	?	Present	3.6
Authentic 621	Brown	7.5	Authentique Brasserie	?	?	No Rating Found
Authentic Ambrée	Amber	5	Authentique Brasserie	?	?	No Rating Found
Authentic Blonde	Blond	6.5	Authentique Brasserie	?	?	3.326
Authentic Blonde de Noël	Christmas Beer	9	Authentique Brasserie	?	?	No Rating Found
Authentic Triple	Triple	9.5	Authentique Brasserie	?	?	3.773
L'Autruche Biere des Gilles	Blond Cloudy	7	Brasserie de Silenrieux	2002	Present	3.213
Avec les Bons Vœux	Blond	9.5	Brouwerij Dupont	1980	Present	3.803
Averbode	Abbey Beer	7.5	Brouwerij Huyghe	2014	Present	3.569
Astrum Pale Ale	Pale Ale	6	Abdijbrouwerij Grimbergen	2021	Present	3.35
Aymon	Pink-Blonde	8	Brouwerij Malheur	2000	Present	3.431
Babylone	Bitter	7	Brouwerij Brussels Beer Project	2015	Present	3.58
Bacchus	Old Brown	4.5	Brouwerij Van Honsebrouck	?	Present	3.683
Bacchus Frambozenbier	Fruit Beer	5	Brouwerij Van Honsebrouck	?	Present	3.643
Bacchus Kriekenbier	Fruit Beer	5.8	Brouwerij Van Honsebrouck	?	Present	3.687
Balthazar	Winter Beer	8.9	Brouwerij Alvinne	2007	Present	3.619
