Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
3 Pekkel	Goudblond	7,1%	BeerSelect voor Scouts Ingelmunster	2020-2022
3 Schténg	hoge gisting, Vlaams oud bruin, regionaal bier	6%	Brasserie Grain d'Orge, 4852 Hombourg, Provincie Luik gebrouwen voor het restaurant de Koning Boudewijntoren Panoramatoren Drielandenpunt Gemmenich	2002-heden
IV Saison	saison	6,5%	Brasserie de Jandrain-Jandrenouille	2007-heden
V Cense	hoge gisting, spéciale belge	7,5%	Brasserie de Jandrain-Jandrenouille	?-?
VI Wheat	hoge gisting, tarwebier	6%	Brasserie de Jandrain-Jandrenouille	?-?
7PK	hoge gisting, tripel	7%	Brouwerij Anders! voor VZW De Winning Maatwerk	2013-heden
26.2 M	hoge gisting, blond	6%	Brasserie L'Échappée Belle	?-?
28 Brett	versneden, amber	7,5%	De Proefbrouwerij voor Caulier Developpement	?-heden
28 Pale Ale	blond	5%	De Proefbrouwerij voor Caulier Developpement	?-heden
28 Triple	abdijbier, tripel	9%	Brasserie De Proefbrouwerij voor Caulier Développement	?-heden
44 Blanche	hoge gisting, tarwebier	5,5%	Brasserie de La Gleize	2014-?
44 Blonde	hoge gisting, blond	5,5%	Brasserie de La Gleize	2014-?
44 Brune	hoge gisting, oud bruin	5,5%	Brasserie de la Gleize	2014-?
44 Brune Cuvée Spéciale	hoge gisting, oud bruin	6,5%	Brasserie de la Gleize	2014-?
44 Christmas	hoge gisting, kerstbier	6%	Brasserie de la Gleize	2014-?
44 Nuts Ambrée	hoge gisting, spéciale belge	6%	Brasserie de la Gleize	2014-?
44 Tiger Triple	hoge gisting, tripel	8%	Brasserie de la Gleize	2014-?
365 Pils Bière	pils	4,7%	Brouwerij Haacht voor Delhaize	?-?
421 Pintje	hoge gisting, blond, speltbier	4,6%	Brasserie Millevertus	?-?
400-Quadrigenti	hoge gisting, blond	5,6%	't Hofbrouwerijke voor Brouwerij Montaigu	?-?
1414 Ambrosius	hoge gisting, blond, hergisting op fles	5%	Brouwerij Anders! gebrouwen voor de 600 verjaardag van Weert, Nl	2014-?
1815	hoge gisting, spéciale belge	7%	Brasserie des Fagnes voor de Syndicat d'Initiative de Ligny, voor de herdenking van de slag bij Waterloo.	2015
1842 by Caulier	hoge gisting, blond, hergisting op fles	9%	Brasserie De Proefbrouwerij voor Caulier Developpement, Ghislenghien	?-?
2290 Vorselaar	hoge gisting,  blond, hergisting op fles	6%	Brouwerij Anders! brewed for Vzw Vorselazerus, Dorpsbier Vorselaar	2016-?
Aardmonnik	oud bruin	8%	De Struise Brouwers	'50-heden
Aarschotse Bruine	bruin	6%	Stadsbrouwerij Aarschot	?-1969 en 2012-heden
Abbay d'Aulne Blonde des Pères 6	abdijbier, blond	6%	Brasserie Val de Sambre	1954-heden
Abbay d'Aulne Brune des Pères 6	abdijbier, bruin	6%	Brasserie Val de Sambre	1954-heden
Abbay d'Aulne Super Noël 9	abdijbier, kerstbier	9%	Brasserie Val de Sambre	1954-heden
Abbay d'Aulne Triple Blonde	abdijbier, tripel	8%	Brasserie Val de Sambre	1954-heden
Abbay d'Aulne Triple Brune	abdijbier, tripel	8%	Brasserie Val de Sambre	1954-heden
Abbay d'Aulne Val de Sambre	abdijbier, amber	6,4%	Brasserie Val de Sambre	1954-heden
Abbaye de Bonne-Espérance	abdijbier	7,8%	Brouwerij Lefebvre	1970-heden
Abbaye de Forest	abdijbier, tripel	6,5%	Brasserie de Silly	2005-heden
Abbaye de la Thure	abdijbier	10%	Brasserie Brootcoorens	NaN
Abbaye de Oudkerken	abdijbier	6,2%	Brouwerij Lefebvre	NaN
Abbaye de Saint-Martin Blonde	abdijbier	7%	Brasserie de Brunehaut	2002-heden
Abbaye de Saint-Martin Brune	abdijbier	8%	Brasserie de Brunehaut	2002-heden
Abbaye de Saint-Martin Cuvée de Noël	abdijbier, kerstbier	8,5%	Brasserie de Brunehaut	?-heden
Abbaye de Saint-Martin Triple	abdijbier, tripel	9%	Brasserie de Brunehaut	?-heden
Abbaye de Saint-Amands	abdijbier	7%	Brouwerij Brunehaut	?-?
Abbaye des Rocs Blonde	abdijbier, hoge gisting	7,5%	Brasserie de l'Abbaye des Rocs	1984-heden
Abbaye des Rocs Brune	abdijbier bruin	9%	Brasserie de l'Abbaye des Rocs	1984-heden
Abbaye des Rocs Grand Cru	abdijbier ale	9,5%	Brasserie de l'Abbaye des Rocs	?-heden
Abbaye des Rocs Spéciale Noël	abdijbier, kerstbier	9%	Brasserie de l'Abbaye des Rocs	?-heden
Abdis Blond	blond	6,5%	Brouwerij Riva	2006-2008
Abdis Bruin	bruin	6,5%	Brouwerij Riva	2006-2008
Abdis Tripel	tripel	8,2%	Brouwerij Riva	2006-2008
Abdij van Roosenberg Dubbel	dubbel	7%	Brouwerij Van Steenberge	1971-heden (e 1996-heden)
Abdij van Roosenberg Tripel	Tripel	9%	Brouwerij Van Steenberge	1971-heden (e 1996-heden)
Abdij Vieille Villers Blond	blond	?%	Brouwerij Villers	?-?
Abdij Vieille Villers Bruin	bruin	?%	Brouwerij Villers	?-?
Abdij Vieille Villers Tripel	tripel	?%	Brouwerij Villers	?-?
Abtei Himmerod Abteibier	abdijbier	?%	Brouwerij Val-Dieu	?-?
Achel 5 Blond	trappist, blond	5%	Achelse Kluis	1998-heden
Achel 5 Bruin	trappist, bruin	5%	Achelse Kluis	1998-heden
Achel 7	trappist	7%	Achelse Kluis	1999-2001?
Achel 6	trappist	6%	Achelse Kluis	1999-2001?
Achel 8 Blond	trappist, blond	8%	Achelse Kluis	2001-heden
Achel 8 Bruin	trappist, bruin	8%	Achelse Kluis	2001-heden
Achel Blond Extra	trappist, blond	9,5%	Achelse Kluis	2010-heden
Achel Bruin Extra	trappist, bruin	9,5%	Achelse Kluis	?-heden
Ada 8	NaN	8%	Brouwerij De Smedt voor Brasserie de l'Abbaye d'Aulne- ets Leveau	?-?
Ada 10	NaN	10%	Brouwerij De Smedt voor Brasserie de l'Abbaye d'Aulne- ets Leveau	?-?
Adelardus	abdijbier	7%	Brouwerij Sint-Jozef voor Brouwerij Kerkom	2002-heden
Adelardus Tripel	abdijbier, tripel	9%	Brouwerij Sint-Jozef voor Brouwerij Kerkom	2005-heden
Adler	pils	6,5%	Brouwerij Haacht	1955-heden
Adriaen Brouwer	hoge gisting, bruin	5%	Brouwerij Roman	?-heden
Adriaen Brouwer Dark Gold	hoge gisting, bruin	8,5%	Brouwerij Roman	2008-2017
Adriaen Brouwer tripel	hoge gisting, tripel	9%	Brouwerij Roman	2018-heden
Aerts 1900	NaN	7,6%	Brouwerij Palm	?-?
Adriaen Brouwer Oaked (vroeger winterwood)	hoge gisting, bruin, bio	10%	Brouwerij Roman	2018-heden
Affligem 10	abdijbier	10%	Affligem Brouwerij (Heineken)	1983-1986
Affligem Blond	abdijbier, blond	6,8%	Affligem Brouwerij (vroeger Brouwerij De Smedt nu deel van Heineken)	?-heden
Affligem Dubbel	abdijbier, bruin	6,8%	Affligem Brouwerij (Heineken)	1956-heden
Affligem 950 Cuvee	abdijbier, blond	6,8%	Affligem Brouwerij (Heineken)	2012-heden
Affligem Noël	abdijbier, kerstbier	9%	Affligem Brouwerij (Heineken)	?-heden
Affligem Patersvat	abdijbier, dubbel gehopt	6,8%	Affligem Brouwerij (Heineken)	?-heden
Affligem Rood	abdijbier	6,7%	Affligem Brouwerij (Heineken)	?-1994
Affligem Tripel	abdijbier, tripel	8,5%	Affligem Brouwerij (Heineken)	1957-heden
Agrumbocq	hoge gisting, witbier, fruitbier	3,1%	Brasserie du Bocq	?-heden
Airborne	abdijbier, dubbel	7,5%	Brasserie De Bouillon voor Brasserie Lamborelle	?-?
Airborne Christmas	kerstbier	8%	Brasserie De Bouillon voor Brasserie Lamborelle	?-?
Akila Pils	pils	5%	Brouwerij Louwaege	?-2002
Alegonde Blond	blond	7,5%	Les Artisans Brasseurs	?-?
Alegonde Bruin	bruin	8.5%	Les Artisans Brasseurs	?-?
Alegonde Special	NaN	%	Les Artisans Brasseurs	?-?
Alfoncine	robijnrood	8,5%	Brouwerij Strubbe voor Biofresh Gavere	?-heden
