	ID	Name	Brewery	Alcohol Percent	IBU	Brewery Website
0	1	Montagnarde Altitude 6	de l’Abbaye des Rocs - MONTIGNIES-SUR-ROC	6 %	N/A	http://www.abbaye-des-rocs.com/
1	2	Brune	de l’Abbaye des Rocs - MONTIGNIES-SUR-ROC	9 %	N/A	http://www.abbaye-des-rocs.com/
2	3	Seaking Blond	Huisbier - Klemskerke	6.5 %	N/A	https://www.huisbier.be/nl/
3	4	Montagnarde	de l’Abbaye des Rocs - MONTIGNIES-SUR-ROC	9 %	N/A	http://www.abbaye-des-rocs.com/
4	5	Achel Blond 8	De Achelse Kluis - Achel - HAMONT-ACHEL	8 %	N/A	https://achelsekluis.org/nl
5	6	Blanche des Honnelles	de l’Abbaye des Rocs - MONTIGNIES-SUR-ROC	6 %	N/A	http://www.abbaye-des-rocs.com/
6	7	Smisje Bananenbier  (Uit productie) (No longer in production) (Ne plus en production)	Smisje - Oudenaarde	6 %	N/A	https://smisje.wordpress.com/
7	8	Smisje Dubbel  (Uit productie) (No longer in production) (Ne plus en production)	Smisje - Oudenaarde	9 %	N/A	https://smisje.wordpress.com/
8	9	Smisje Dubbel Dadel	Smisje - Oudenaarde	9 %	N/A	https://smisje.wordpress.com/
9	10	Smisje Honingbier  (Uit productie) (No longer in production) (Ne plus en production)	Smisje - Oudenaarde	6 %	N/A	https://smisje.wordpress.com/
10	11	Smisje Kerst  (Uit productie) (No longer in production) (Ne plus en production)	Smisje - Oudenaarde	11 %	N/A	https://smisje.wordpress.com/
11	12	Smisje Tripel  (Uit productie) (No longer in production) (Ne plus en production)	Smisje - Oudenaarde	9 %	N/A	https://smisje.wordpress.com/
12	13	't Zelfde	teels - Buggenhout	6.1 %	N/A	https://bosteelsbrewery.com/
13	14	621	Authentique - Blaton	7 %	N/A	https://www.authentiquebrasserie.be/
14	15	Seaking Bruin	Huisbier - Klemskerke	8.5 %	N/A	https://www.huisbier.be/nl/
15	16	Seaking Tripel	Huisbier - Klemskerke	8.5 %	N/A	https://www.huisbier.be/nl/
16	17	Bistro Zee Zee	De Graal - Brakel	6.5 %	N/A	https://degraal.be/
17	18	Aarschotse Bruine	Aarschot - Aarschot	4 %	N/A	https://www.hetgasthuis.be/stadsbrouwerij
18	19	Val de Sambre 6 (Ambrée)	Taverne de l'Abbaye d'Aulne/Val de Sambre - GOZEE	6 %	N/A	https://brasserietaverneada.be/
19	20	Blonde des Peres sur lie	Taverne de l'Abbaye d'Aulne/Val de Sambre - GOZEE	6 %	N/A	https://brasserietaverneada.be/
20	21	Brune des Peres sur lie	Taverne de l'Abbaye d'Aulne/Val de Sambre - GOZEE	6 %	N/A	https://brasserietaverneada.be/
21	22	Kruidig Blondje	Huisbier - Klemskerke	6.5 %	N/A	https://www.huisbier.be/nl/
22	23	Jubbles	De Graal - Brakel	8.5 %	N/A	https://degraal.be/
23	24	Super Noel	Taverne de l'Abbaye d'Aulne/Val de Sambre - GOZEE	9 %	N/A	https://brasserietaverneada.be/
24	25	Triple Blonde sur lie	Taverne de l'Abbaye d'Aulne/Val de Sambre - GOZEE	9 %	N/A	https://brasserietaverneada.be/
25	26	Triple Brune sur lie	Taverne de l'Abbaye d'Aulne/Val de Sambre - GOZEE	8 %	N/A	https://brasserietaverneada.be/
26	27	Spéciale Noël	de l’Abbaye des Rocs - MONTIGNIES-SUR-ROC	9 %	N/A	http://www.abbaye-des-rocs.com/
27	28	Abdij Dendermonde Tripel	De Block - Merchtem-Peisegem	8 %	N/A	https://www.brewerydeblock.com/nl/
28	29	Achel Bruin 8	De Achelse Kluis - Achel - HAMONT-ACHEL	8 %	N/A	https://achelsekluis.org/nl
29	30	Achel Blond Extra 9.5	De Achelse Kluis - Achel - HAMONT-ACHEL	9.5 %	N/A	https://achelsekluis.org/nl
30	31	Adelardus Dubbel	Kerkom - Sint-Truiden	7 %	N/A	https://www.brouwerijkerkom.be/nl/
31	32	Adelardus Tripel	Kerkom - Sint-Truiden	9 %	N/A	https://www.brouwerijkerkom.be/nl/
32	33	Adler	Haacht - Boortmeerbeek	5 %	N/A	https://haacht.com/nl-BE
33	34	Adriaen Brouwer	Roman - Oudenaarde	5 %	N/A	https://www.roman.be/nl
34	35	Affligem Blond	Affligem - Opwijk	6.8 %	24 => Bitterheid is merkbaar	https://www.affligembeer.com/be/nl/homepage
35	36	Affligem Dubbel	Affligem - Opwijk	6.8 %	17 => Weinig opvallende bitterheid	https://www.affligembeer.com/be/nl/homepage
36	37	Affligem Tripel	Affligem - Opwijk	9.5 %	N/A	https://www.affligembeer.com/be/nl/homepage
37	38	Akila Export  (Uit productie) (No longer in production) (Ne plus en production)	Alken-Maes - Alken	4 %	N/A	https://www.alken-maes.be/
38	39	Akila Pils  (Uit productie) (No longer in production) (Ne plus en production)	Alken-Maes - Alken	5 %	N/A	https://www.alken-maes.be/
39	40	Alvinne Blond  (Uit productie) (No longer in production) (Ne plus en production)	Alvinne - Moen/Zwevegem	6 %	N/A	https://www.alvinne.com/
40	41	Mussebier	De Graal - Brakel	6 %	30 => Bitterheid is merkbaar	https://degraal.be/
41	42	Alvinne Bruin  (Uit productie) (No longer in production) (Ne plus en production)	Alvinne - Moen/Zwevegem	7 %	N/A	https://www.alvinne.com/
42	43	Alvinne Extra Blond  (Uit productie) (No longer in production) (Ne plus en production)	Alvinne - Moen/Zwevegem	7 %	N/A	https://www.alvinne.com/
43	44	Ambiorix Dubbel Ongefilterd	Slaghmuylder - Ninove	8 %	N/A	http://www.witkap.be
44	45	Ambrel	Huyghe - Melle	6.2 %	N/A	https://www.delirium.be/nl
45	46	Antoon  (Uit productie) (No longer in production) (Ne plus en production)	De Koninck - Antwerpen	6 %	N/A	https://www.dekoninck.be/
46	47	Arabier	De Dolle Brouwers - Esen-Diksmuide	8 %	N/A	https://www.oerbier.be/
47	48	Artevelde	Huyghe - Melle	5.7 %	N/A	https://www.delirium.be/nl
48	49	Artevelde Grand Cru	Huyghe - Melle	7.3 %	N/A	https://www.delirium.be/nl
49	50	Augustijn blond	Van Steenberge - Ertvelde	7.5 %	N/A	https://www.vansteenberge.com/nl
50	51	Augustijn Grand Cru	Van Steenberge - Ertvelde	9 %	N/A	https://www.vansteenberge.com/nl
51	52	Babbelaar	Proefbrouwerij - Lochristi	6.5 %	N/A	http://www.proefbrouwerij.com
52	53	Bloody Cowboy	De Graal - Brakel	6.8 %	N/A	https://degraal.be/
53	54	Balthazar	Alvinne - Moen/Zwevegem	9 %	N/A	https://www.alvinne.com/
54	55	BullsEye	De Graal - Brakel	9 %	N/A	https://degraal.be/
55	56	Vibb Kartuizers	VIBB - Ninove	9 %	N/A	https://vibb.be/
56	57	VIBB Prior	VIBB - Ninove	9 %	N/A	https://vibb.be/
57	58	VIBB Blond	VIBB - Ninove	5.5 %	N/A	https://vibb.be/
58	59	Bavik Pony-Stout	De Brabandere - voorheen Bavik - Bavikhove	5 %	N/A	https://www.brouwerijdebrabandere.be/nl
59	60	Bavik Premium Export	De Brabandere - voorheen Bavik - Bavikhove	5 %	N/A	https://www.brouwerijdebrabandere.be/nl
60	61	Bavik Premium Pils  Etiketbier van: Bavik Super Pils	De Brabandere - voorheen Bavik - Bavikhove	5.2 %	N/A	https://www.brouwerijdebrabandere.be/nl
61	62	Bavik Triple Bock	De Brabandere - voorheen Bavik - Bavikhove	3 %	N/A	https://www.brouwerijdebrabandere.be/nl
62	63	Tournee Beaurinoise	Caracole - Falmignoul	7 %	N/A	https://www.brasseriecaracole.be/
63	64	Beersel Bio  (Uit productie) (No longer in production) (Ne plus en production)	3 Fonteinen - Lot (Beersel)	7 %	N/A	https://www.3fonteinen.be/nl/
64	65	Beersel Blond	3 Fonteinen - Lot (Beersel)	7 %	N/A	https://www.3fonteinen.be/nl/
65	66	Beersel Tarwe  (Uit productie) (No longer in production) (Ne plus en production)	3 Fonteinen - Lot (Beersel)	6 %	N/A	https://www.3fonteinen.be/nl/
66	67	VIBB Bio	VIBB - Ninove	6.5 %	N/A	https://vibb.be/
67	68	Bel Pils	Duvel Moortgat - Breendonk-Puurs	5.3 %	N/A	https://www.duvel.com/
68	69	Big Chouffe	Achouffe - Achouffe-Wibrin	8 %	N/A	https://chouffe.com/nl-be/welkom/
