brewery_name	brewery_website
Brasserie de l’Abbaye des Rocs	http://www.abbaye-des-rocs.com/
Huisbier	https://www.huisbier.be/nl/
De Achelse Kluis - Achel	https://achelsekluis.org/nl
Smisje	https://smisje.wordpress.com/
Bosteels	https://bosteelsbrewery.com/
Authentique	https://www.authentiquebrasserie.be/
De Graal	https://degraal.be/
Aarschot	https://www.hetgasthuis.be/stadsbrouwerij
Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	https://brasserietaverneada.be/
De Block	https://www.brewerydeblock.com/nl/
Kerkom	https://www.brouwerijkerkom.be/nl/
Haacht	https://haacht.com/nl-BE
Roman	https://www.roman.be/nl
Affligem	https://www.affligembeer.com/be/nl/homepage
Alken-Maes	https://www.alken-maes.be/
Alvinne	https://www.alvinne.com/
Slaghmuylder	http://www.witkap.be
Huyghe	https://www.delirium.be/nl
De Koninck	https://www.dekoninck.be/
De Dolle Brouwers	https://www.oerbier.be/
Van Steenberge	https://www.vansteenberge.com/nl
Proefbrouwerij	http://www.proefbrouwerij.com
VIBB	https://vibb.be/
De Brabandere - voorheen Bavik	https://www.brouwerijdebrabandere.be/nl
Caracole	https://www.brasseriecaracole.be/
3 Fonteinen	https://www.3fonteinen.be/nl/
Duvel Moortgat	https://www.duvel.com/
Achouffe	https://chouffe.com/nl-be/welkom/
Uncharted Brew Co	https://www.unchartedbrewco.be/
Detrembleur SPRL	http://www.lavieillesalme.com/fr/brasserie-277
Monalixa	http://monalixa.be/
Het Anker	https://www.hetanker.be/nl
Artisans Brasseurs/Brasserie Mibrana	
AB InBev	https://www.stellaartois.com/
Hoegaarden	https://hoegaarden.com/
Lamot - gestopt in 2000	
Brasserie Piedboeuf	https://jupiler.be/nl
Dendria - gestopt in 1963	
Belle-Vue	https://ab-inbev.be/
Boon	https://www.boon.be/
HopHemel	https://hophemel.be
De Boeretang GCV	http://brouwerijdeboeretang.be
La Binchoise	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise
De Bie	https://www.brouwerijdebie.be/
Gistgeest	https://www.gistgeest.be
Bouillon	https://wallux.com/brasserie-de-bouillon
Fantome	http://www.fantome.be
L'Abbaye N.D. de Scourmont - Chimay	https://chimay.com/
Abbaye Saint-Rémy - Rochefort	http://www.abbaye-rochefort.be
Westmalle	https://www.trappistwestmalle.be/nl
Abdij Sint-Sixtus Westvleteren	https://www.trappistwestvleteren.be/nl
Icobes	https://www.biereduboucanier.be
Abbaye de Val-Dieu	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/
Pirlot	https://www.brouwerijpirlot.be/
Brouwerij Serafijn	
Palm	https://www.palm.be/nl/
Verstraeten H & S	https://boerkenenboerinneken.be/
Van Honsebrouck	https://www.vanhonsebrouck.be/
De Gouden Boom	https://www.palm.be/nl/degoudenboom
Brunehaut	https://brunehaut.com/
Brasserie de la Mule	https://brasseriedelamule.wixsite.com/mon-site
BeerSelect - Gent	https://www.beerselect.be/
Boelens	https://www.brouwerijboelens.be/
Du Bocq	http://www.bocq.be
Abdij van La Ramée	http://www.ramee.be/NL/Products.aspx
Brussels Beer Project	http://beerproject.be/?lang=nl
Dubuisson	https://www.dubuisson.com/
De Ryck	https://brouwerijderyck.be/nl/
De Feniks	https://brouwerijdefeniks.be
Dupont	https://www.brasserie-dupont.com/nl
De Vlier	https://www.brouwerij-devlier.com/
Braven Apostel	http://bravenapostel.be
Gageleer	https://www.gageleer.be
VACAS	
Rodenbach	https://be.rodenbach.be/be/nl/age-gate.html?redirect=%2Fbe%2Fnl.html
Puffin Brewery	https://www.puffinbrewery.be
Stanium	https://www.stanium.be/
BramBrass	
Sint-Idesbald	
Corsendonk	https://www.corsendonk.com/nl
Strubbe	https://www.brouwerij-strubbe.be/nl/home
De Vier Monniken	
Lefebvre	https://www.brasserielefebvre.be/nl/
Caulier SPRL	https://www.brasseriecaulier.beer/?lang=nl
Cornelissen - voorheen Sint-Jozef	https://brouwerijcornelissen.be/
De Glazen Toren	http://www.glazentoren.be
De Halve Maan	https://www.halvemaan.be/
Mort Subite	https://www.mort-subite.be/nl/arnoldus-code/
Lechasseur	http://lechasseur.be
Louwaege - Verdwenen in 2002	
Padel Artisanal	https://www.padelbier.be/
Van den Bossche	https://www.paterlieven.be/
Cantillon	http://www.cantillon.be
Verhaeghe	https://www.brouwerijverhaeghe.be/
Fisser	https://www.fisser.be/bier/neflierefuiter
Crombé	http://www.brouwerijcrombe.be/index.html
Bières de Quartiers	https://www.bieresdequartiers.be/
De Cam	http://www.lambicland.be/De_Cam/De_stekerij.html
Liefmans	https://www.liefmans.be/
Brouwerij 31	https://www.brouwerij31.be/
Riva	
De Ranke	http://www.deranke.be
De Troch	https://www.detroch.be/
Silly	https://silly-beer.com/nl/start/
Brasserie des Legendes	https://www.brasseriedeslegendes.be/
Clarysse	
Girardin	https://www.girardin1882.be/nl
Hanssens	http://www.delambiek.be/product/1139/geuzestekerij-hanssens-artisanaal
Leroy	https://www.leroybreweries.be/
Martens	https://www.martens.be/
Silenrieux	http://www.brasseriedesilenrieux.be/#Accueil.A
Pepieto	
Beer Solutions	https://beer-solutions.webnode.be
Rochefortoise - Eprave	
Leffe - Inbev	https://leffe.com/nl
Lindemans	https://www.lindemans.be/
Loterbol	https://sites.google.com/view/loterbol
Malheur	http://www.malheur.be
d'Oude maalderij	https://www.doudemaalderij.com/
Oud Beersel	https://oudbeersel.com/
Dochter van de Korenaar	https://www.dedochtervandekorenaar.be/nl/
BKRK	https://bokrijk.be/nl/bkrk-bier-de-expo
Sterkens	https://brouwerijsterkens.be/
Rulles	http://brasseriederulles.be/
A Vapeur	https://www.vapeur.com/
Lupulus	https://www.lupulus.be
De Cock	https://brouwerijdecock.com/
BCB ex-Brouwerij Eutropius	https://www.brouwerij-eutropius.be/nl
Slaapmutske	http://www.slaapmutske.be/
Sint-Bernardus	https://www.sintbernardus.be/
Saint-Feuillien	http://www.st-feuillien.com
Saint-Monon	https://saintmonon.be/nl/home-nl/
Ter Dolen	https://www.terdolen.be/
Timmermans	https://brtimmermans.be/nl/
Brouwerij Vandaele	
Contreras	http://www.contreras.be
The Musketeers	https://www.themusketeers.be/nl/
Urthel	https://www.urthel.com
De Struise Brouwers	https://struise.com/about/
De Brouwerij van Vlaanderen bvba	https://www.vlaamscheleeuw.com/nl
Druïde	
Deca	https://www.decabrouwerij.be/nl/
De Hoevebrouwers	https://www.dehoevebrouwers.be/
Lupiline	
Craywinckelhof	http://www.craywinckelhof.eu
Augrenoise	https://augrenoiseweb.wixsite.com/site
Den Herberg	https://denherberg.be/
Hepta	http://hepta.be
Het Alternatief	
Brasserie du Borinage	https://brasserieduborinage.be/
Bierhuisje Kroegske	https://www.jelle.nu/bier.html
Gulden Spoor	https://www.guldenspoor.be/
't Arrondissement	https://www.tarrondissement.be/
Vander Ghinste	https://www.omervanderghinste.be/nl
Heilig Hart	http://www.heilighartbrouwerij.be/
Brasserie Surréaliste	https://shop.brasseriesurrealiste.com/
Jandrain-Jandrenouille sprl	http://www.brasseriedejandrainjandrenouille.com/
Nieuwhuys	http://www.nieuwhuys.be/
Vissenaken	https://www.brouwerijvissenaken.be/
Microbrasserie La Trap’Taupe	https://www.traptaupe.be/
Brewingfox	www.brewingfox.be
Mortal's Beers - gesloten	
Malterfakker	http://brouwateljee.be/
Atrium	https://www.brasserieatrium.be/
One Two Beer	https://www.onetwo-beer.be/
Hofbrouwerijke	http://www.thofbrouwerijke.be
't Pakhuis	http://www.pakhuis.info
Captain Cooker International VOF	http://www.captaincooker.com/
De Wilde Brouwers	https://www.dewildebrouwers.be/
De Backer	https://pikaflor.be/
Blaugies	http://www.brasseriedeblaugies.com
Sainte-Helene	http://www.sainte-helene.be
La Botteresse	https://www.labotteresse.be/
Brasserie du Brabant	
Dok Brewing Company	https://www.dokbrewingcompany.be
Brasse-Temps	http://www.brassetemps.be/
Walrave	
Hopperd	http://www.denhopperd.be/
Barbiot	https://brasserie-la-barbiot.wikeo.be/
Den Haene - De Haan	https://bierendenhaene.be/
Des Monts	
Grain d'orge - Hombourg	https://grain-dorge.com/
Bellevaux, Brasserie de	https://www.brasseriedebellevaux.be/nl/
Brasserie d’Erquelinnes Brootcoorens	http://www.brasserie-brootcoorens-erquelinnes.be
Cazeau	http://www.brasseriedecazeau.be
Brouwers van de Grote Markt	http://www.les-brasseurs.com/nl/info.html
Domus	https://domusleuven.be/
De Schuur	https://www.brouwerijdeschuur.info/
Scassenes	https://www.brasseriescassenes.be/
Fagnes	https://www.brasseriedesfagnes.com/
La Brasserie du Château de Durbuy	
Gaverhopke	http://www.tgaverhopke.be/
La Source	https://www.lasourcebeer.be/
Gigi	http://www.brasseriegigi.eu/cadre.htm
Imprimerie	
Lautenne	
Millevertus	https://www.millevertus.be/
Old Bailey - in faling	
Sint-Canarus	http://www.sintcanarus.be/
De la Senne	https://www.brasseriedelasenne.be/?lang=nl
Scheldebrouwerij	https://scheldebrouwerij.com/
De Lelie	http://www.brouwerijdelelie.be/
Klondiker	https://www.huisbrouwerijklondiker.be
Den Tseut	https://www.huisbrouwerij-dentseut.be/
Wolf - vroeger Lupus	https://www.wolfbelgium.com/
Cnudde	https://brouwerijcnudde.be/
Orval	https://www.orval.be/nl/page/447-brouwerij-van-orval
Waterloo - Brewery Mont-St-Jean	http://waterloo-beer.com
Zonderik - Columbus Management BVBA	http://www.zonderik.be
Jessenhofke	https://jessenhofke.be/index.html
De Leite	https://www.deleite.be/nl/
du Flo	https://www.brasserieduflo.be/
La Fourmiliere	
Cluysenaer - Kluizen	https://www.cluysenaer.com/
Oxymore	https://www.peripleenlademeure.com/spip.php?rubrique5
Verhuisbrouwerij	https://www.verhuisbrouwerij.eu/
Belgoo	https://www.belgoobeer.net/
B.G.V. sprl	
Buitenlust	https://www.buitenlustbier.be/welkom
De Arend	https://www.brouwerij-de-arend.be/welkom.html
John Martin NV	https://anthonymartin.be/nl/
Bourgogne Des Flandres	https://www.bourgognedesflandres.be
Vissenberg	https://www.brouwerijvissenberg.be/
Den Toeteler	https://www.toeteler.be/
Galea Craft Beers	http://www.galeacraftbeers.be
Hof ten Dormaal	https://www.hoftendormaal.com/
De Stoefers	https://www.brouwerijdestoefers.be/
Lesage	https://www.lesagebier.be/
Vanuxeem	https://www.vanuxeem.com/nl/home
Dilewyns	https://www.vicaris.be/nl/de-brouwerij/
Minne	http://www.brasseriedebastogne.be/
Battignies	
Gruut	https://www.gruut.be/
Den Triest	https://www.dentriest.be/
Tubize	https://www.destinationbw.be/nl/fiche/producteur/brasserie-de-tubize-tubize_TFOPRD-1H-000SUC/
Kortrijk-Dutsel	
Danny	http://www.brdanny.be
Aaigem	http://www.brouwerijaaigem.be
Ghulden Cop	http://ghulden-cop.be
Wilderen	https://www.brouwerijwilderen.be/nl
De Gheest	
L'Ermitage	http://ermitagenanobrasserie.be/
Donum Ignis	http://www.donumignis.be/
Viven	https://www.viven.be/
Vagebond VOF	https://brouwerijvagebond.be/
Humulus	http://brouwerijhumulus.be/
Montaigu	http://www.brouwerij-montaigu.be
Angerik	http://www.angerik.be/
Vliegende Paard Brouwers	https://prearis.be/
Maenhout	https://www.brouwerijmaenhout.be/
Het Giesbaargs Muurken	http://www.muurken.be/
Antwerpse Brouw Compagnie	https://seef.be/
Lion à Plume	
Brasserie Hoppy	https://brasseriehoppy.be
De Kale Ridders	https://www.tumulus.biz/
Erneffen	
Thoricourt Brewing	
Het Nest	https://www.brouwerijhetnest.be/nl/
At Tack	https://www.brouwerijattack.be
Hopjutters	http://www.hopjutters.be
Draeckenier	
DijkWaert	http://www.dijkwaert.be/
't Verzet	https://www.brouwersverzet.be/nl/
Vandewalle	https://seizoensbrouwerij.be/
Brugs Bierinstituut	http://www.brugsbierinstituut.be/
Basanina	http://www.basanina.be/
Broeder Jacob	http://www.broederjacob.com/
Everbier	https://everbier.com/
De Plukker	https://www.plukker.be/nl/
Flurkbrouwers vof	http://www.flurkbrouwers.be/
Le Bierodrome	http://lebierodrome.be/
Brasserie28	https://28brewery.com/
De 3 Vaten	http://www.3vaten.be
Half Zeven	https://orvelo.be/
Odlo vzw	http://www.brouwerij-odlo.be/
Paters en Prinsen	http://www.patersenprinsen.be
Fort Lapin	https://fortlapin.com/
Traagwater	http://www.traagwater.eu
Hugel	http://www.hugel.be
Amburon Belgian Craftbrewery NV	
Brasserie d'Ebly	http://www.lacorneduboisdespendus.be/?lang=nl
Bryggja	http://www.bryggjabrewery.be/
Malonne	
't  Paenhuys	https://www.tpaenhuys.be/
Wieze Beer Belgium	https://www.wiezebier.be/nl/leeftijdsverificatie
Jean Tout Seul	http://latrompeuse.be/
Tilquin	http://www.gueuzerietilquin.be/
Verstraete	http://papegaei.be/
Bier En Karakter	https://bierenkarakter.be/
Trappieter	
Inter-Pol	http://vieilleforge.freehostia.com/index.php/brouwerij-inter-pol
BOM Brewery BVBA	https://triporteurbeer.com/
Brasserie de Soleilmont	https://www.brasserie-soleilmont.be/
NovaBirra	https://www.novabirra.com/nl/
Belgian Craft Beer Company	https://www.biervanhogegoesting.be/
Bobelines	https://www.luxuryspa.be/brasserie-des-bobelines
Bueckenholt	http://bueckenholt.be
De Vliet	http://www.huisbrouwerijdevliet.be/index.html
Het Brouwersatelier	
Noordster	http://noordster.be
't Drankorgel	http://www.tdrankorgel.be/
Vleesmeester Brewery	http://www.vleesmeesterbrewery.be/
de la Lesse	http://www.brasseriedelalesse.be/
Anders!	https://www.brouwerijanders.be/nl/
Henricus	https://www.paljas-bier.be/home/
Lestedröppel	https://www.walsberger.be/index.html
De Kroon	http://www.brouwerijdekroon.be/
Bierfirma Valocco	https://bierfirmavalocco.vpweb.be
Elfique	https://www.elfique.be/
de la Lienne	http://www.brasseriedelalienne.be/main.php
De Sater	http://www.brouwerijdesater.be/
Brasserie Deseveaux	https://sarazen.be/nl/homepage/
Engilsen	http://www.brouwerijengilsen.be/
Djinn Creations	http://www.nonneke.be/
Bèrringse Bier Brouwers	https://www.koolputter.com
Ribaldus	
't Kroontje	https://www.tkroontje.be/
Toye Marke	http://www.goedendagbier.be/index.html
Batteliek	https://www.batteliek.be/
Brouwerij Soleil	https://brouwerijsoleil.be/
Wit Peerd	https://witpeerd.be/home/
Keizer Kamiel	https://www.keizerkamiel.com
Brasserie de la Semois	
Groenendael	https://www.egotripel.be
Brasserie Léopold 7	https://www.leopold7.com/
Carrières	https://www.brasseriedescarrieres.be/en/
Gilbert	http://www.brasseriegilbert.be
Houppe	https://www.houppe.be/en/
Gengoulf	https://www.gengoulf.be/
Brasserie de l'Attrait	http://brasseriedelattrait.be/
De Meester	http://www.brouwerij-demeester.be/nl
De vierkante Meter	
De Kassei	https://brouwerijdekassei.be/
Bertinchamps	https://www.bertinchamps.be/nl/bertinchamps
De Lustige Brouwers	https://www.delustigebrouwers.be/
Warsage	https://www.brasseriewarsage.be/
Boskal	http://boskal.be
Brasserie de l'Abbaye de Brogne	https://www.abbayedebrogne.be
Brasserie du Clocher	http://brasserieduclocher.be
Peltr	http://peltr.be
Ermicom Brewery	http://www.curieuzeneuske.be/index.php
La Cress BVBA	http://www.lacress.be/
Station 16	https://www.station16.be/
Karbo	
La Natoise	
Huisbrouwerij Averbode	https://averbodemoment.be/nl/home/
Kurrel-Hein	 https://www.facebook.com/ciscus.honingbier/
Stadsbrouwerij 't Koelschip	https://www.blondekuif.be/be/
NatteLore	
Den Buiten	https://www.brouwerijdenbuiten.be/
Wenbrew	https://coastbeer.be/
De Hoorn	https://www.palm.be/nl/dehoorn
Kadee	https://kdbier.be/
Haezen	http://haezen.be/
L'Echappée Belle	
En Stoemelings	https://www.enstoemelings.be/
Kazematten	https://www.kazematten.be/
Amai	https://www.brouwerij-amai.be/
Hopscheppers	http://www.hopscheppers.be/
Bieren Van Begeerte	https://bierenvanbegeerte.be/
Inglorious Brew Stars	http://www.ingloriousbrewstars.com/
Wapper	
Broers	https://shop.brouwerijbroers.be/
Belleketels	https://met-de-zytholoog-aan-de-toog.be/belleketels-nieuws-hoekje
Demanez	http://www.demanez.be
De Roerders	http://www.deroerders.be/
Weldebrouck	https://www.weldebrouck.com/
Keun	https://keun.be/
L'art d'en brasser	
Brasserie des Tchèts	http://www.brasserie-des-tchets.be
du Renard	https://brasseriedurenard.com/
La Forge	https://brasserielaforge.wix.com/brasserielaforgeaccueil
Gemeldorp	http://www.br-gemeldorp.com
Biermaekers	https://buxbeer.com/
Bierke Plezierke	
Nivellois	http://www.aclote.be
De Neus	http://www.neuzebier.eu
