beer_name	Untappd_rating	Untappd_ibu	production_status
Montagnarde Altitude 6	3.192	N/A	No longer in production
Brune	3.694	30.0	Available
Seaking Blond	3.241	N/A	Available
Montagnarde	3.495	N/A	No longer in production
Achel Blond 8	3.668	20.0	No longer in production
Blanche des Honnelles	3.373	N/A	Available
Smisje Bananenbier	N/A	N/A	N/A
Smisje Dubbel	3.544	N/A	No longer in production
Smisje Dubbel Dadel	N/A	N/A	N/A
Smisje Honingbier	N/A	N/A	N/A
Smisje Kerst	3.668	N/A	No longer in production
Smisje Tripel	3.449	N/A	No longer in production
't Zelfde	3.055	N/A	No longer in production
621	4.112	27.0	No longer in production
Seaking Bruin	2.99	N/A	Available
Seaking Tripel	3.419	N/A	Available
Bistro Zee Zee	3.299	N/A	Available
Aarschotse Bruine	2.919	N/A	No longer in production
Val de Sambre 6 (Ambrée)	N/A	N/A	N/A
Blonde des Peres sur lie	3.308	20.0	Available
Brune des Peres sur lie	3.27	N/A	No longer in production
Kruidig Blondje	3.486	N/A	Available
Jubbles	3.386	60.0	No longer in production
Super Noel	3.436	40.0	No longer in production
Triple Blonde sur lie	3.623	N/A	No longer in production
Triple Brune sur lie	3.765	N/A	No longer in production
Spéciale Noël	3.584	N/A	Available
Abdij Dendermonde Tripel	3.262	N/A	Available
Achel Bruin 8	3.708	24.0	No longer in production
Achel Blond Extra 9.5	N/A	N/A	N/A
Adelardus Dubbel	3.452	N/A	Available
Adelardus Tripel	3.508	N/A	No longer in production
Adler	3.733	40.0	No longer in production
Adriaen Brouwer	3.608	N/A	No longer in production
Affligem Blond	3.534	24.0	Available
Affligem Dubbel	3.451	21.0	Available
Affligem Tripel	3.666	N/A	Available
Akila Export	N/A	N/A	N/A
Akila Pils	N/A	N/A	No longer in production
Alvinne Blond	3.664	N/A	Available
Mussebier	3.475	N/A	Available
Alvinne Bruin	4.098	N/A	No longer in production
Alvinne Extra Blond	N/A	N/A	No longer in production
Ambiorix Dubbel Ongefilterd	N/A	N/A	N/A
Ambrel	N/A	N/A	No longer in production
Antoon	3.31	N/A	Available
Arabier	3.469	25.0	No longer in production
Artevelde	3.434	N/A	Available
Artevelde Grand Cru	3.434	N/A	Available
Augustijn blond	3.53	21.0	No longer in production
Augustijn Grand Cru	3.6	N/A	No longer in production
Babbelaar	3.344	N/A	Available
Bloody Cowboy	3.154	N/A	Available
Balthazar	3.619	N/A	No longer in production
BullsEye	3.433	N/A	No longer in production
Vibb Kartuizers	3.337	N/A	No longer in production
VIBB Prior	3.417	N/A	Available
VIBB Blond	3.219	N/A	Available
Bavik Pony-Stout	2.567	N/A	Available
Bavik Premium Export	3.187	N/A	Available
Bavik Premium Pils	3.323	22.0	Available
Bavik Triple Bock	2.489	N/A	Available
Tournee Beaurinoise	3.199	N/A	Available
Beersel Bio	3.18	N/A	No longer in production
Beersel Blond	3.291	20.0	No longer in production
Beersel Tarwe	3.106	N/A	No longer in production
VIBB Bio	3.217	N/A	Available
Bel Pils	2.846	N/A	No longer in production
Big Chouffe	3.819	20.0	No longer in production
La Chouffe	3.819	20.0	Available
Le Tarzan Flamand	3.814	N/A	Available
Preutekoeler	3.22	N/A	Available
't Jefke	3.5	N/A	Available
Ne Janneman	3.115	N/A	Available
la Vieille Salme	3.53	34.0	No longer in production
Chouffe-bok 6666	3.477	19.0	No longer in production
N'Ice Chouffe	3.66	25.0	No longer in production
Alken Faro	2.442	N/A	Available
Milleneir Baarle Nassau - Baarle Hertog	N/A	N/A	No longer in production
Anglo pils	3.754	N/A	Available
La Rhétorique	3.875	N/A	Available
't Muzikantje	3.28	N/A	Available
Cristal Alken	3.04	28.0	No longer in production
'T Wiske	2.909	N/A	Available
Afschuimer	N/A	N/A	N/A
Arvaria Blond Hop	3.369	N/A	Available
Zulte	3.263	N/A	No longer in production
Reinaert amber	3.449	N/A	Available
Reinaert tripel	3.571	35.0	Available
Gouden Carolus Classic	3.736	25.0	No longer in production
B.Less	4.158	N/A	Available
Mechelschen bruynen	3.55	30.0	No longer in production
L'Aldegonde brune	N/A	N/A	N/A
L'Aldegonde blonde	N/A	N/A	N/A
Marlagne blanche	N/A	N/A	N/A
Belzebubs Bulldozer	3.348	N/A	Available
Bass pale ale	3.325	49.0	No longer in production
Bergenbrau	N/A	N/A	No longer in production
Centric Blond	3.159	N/A	Available
C.T.S. Scotch	3.265	N/A	No longer in production
Campbell's scotch	3.268	N/A	No longer in production
Centric Tripel	3.359	N/A	Available
Ninoofse Col Blond	3.174	N/A	Available
Ginder ale	2.806	N/A	No longer in production
Drapo	3.387	N/A	No longer in production
La Victoire	3.538	N/A	Available
Horse ale	4.021	98.0	Available
Julius	4.483	72.0	No longer in production
Léon Dégustation	3.316	18.0	Available
Erman	N/A	N/A	No longer in production
Graaf Lodewijk Van Loon	3.245	N/A	Available
Lamot pilsor	N/A	N/A	N/A
Loburg	2.906	N/A	No longer in production
Piedboeuf blond	1.885	N/A	Available
Piedboeuf brune	N/A	N/A	N/A
Safir	3.537	N/A	Available
Lerareling Bruin	N/A	N/A	N/A
Minnewoater	N/A	N/A	N/A
Stella Artois	3.271	24.0	Available
Nachtoileken	N/A	N/A	No longer in production
Stella Artois light	2.755	N/A	No longer in production
Stella Artois NA	2.737	20.0	Available
Supra pils	N/A	N/A	No longer in production
Opstal	3.15	29.0	Available
Vieux Temps	2.94	N/A	No longer in production
Whitbread extra stout	2.811	N/A	No longer in production
Whitbread pale ale	2.944	N/A	No longer in production
Wiel's	2.525	N/A	No longer in production
Campbell's christmas	3.458	N/A	No longer in production
Oud-Hansbeeks Blondje	N/A	N/A	N/A
Bavik Dinner beer blond	2.345	N/A	Available
Bavik Dinner beer faro	2.44	N/A	Available
Export	3.308	29.0	Available
Saint-Sylvain	N/A	N/A	N/A
Sjotbiker	3.154	70.0	Available
Stravvn Dries	3.316	N/A	Available
Surprise Kriek	3.421	N/A	Available
Bavik Witbier	3.462	11.0	No longer in production
Fancy	4.095	N/A	Available
Goldburg	2.067	N/A	No longer in production
