username	preference	disliked
00cobraR	['Tripel', 'Donker', 'Sterke ale', 'IPA', 'Ale', 'Amber ale']	['Rood bruin']
01jimmen	['Amber ale']	[]
0o9i	['Tripel', 'Sterke ale']	[]
11026	['Wilde ale', 'Tripel', 'Blond', 'Sterke ale', 'IPA', 'Ale', 'Dubbel abdij']	[]
12many	['Tripel', 'IPA', 'Dubbel abdij']	[]
13mikey	['Wilde ale', 'Tripel', 'Sterke ale', 'Rood bruin']	[]
17thfloor	['Quadrupel', 'Tripel', 'Wilde ale', 'Donker', 'Saison', 'Sterke ale', 'Rood bruin', 'IPA', 'Ale', 'Witbier', 'Dubbel abdij']	[]
184601	['Fruitbier']	[]
19Ei8hty	['Amber ale']	[]
1BeerWench	['Dubbel abdij']	[]
1FastSTi	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Belgische ale', 'Donker', 'Sterke ale', 'Dubbel abdij']	['Amber ale']
1nsane	['Quadrupel']	[]
2004st4s	['Tripel']	[]
21iceman40	['Quadrupel', 'Blond', 'Scotch', 'Rood bruin', 'Amber ale']	['Fruitbier', 'Pils']
22415brewery	['Quadrupel', 'Dubbel abdij']	[]
2Row	['Amber ale']	[]
2late2brew	['Tripel']	[]
2philosophers	['Quadrupel']	[]
3daddict	['Amber ale', 'Ale']	[]
3fourths	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Kruidenbier', 'Sterke ale', 'Rood bruin', 'IPA', 'Kerstbier', 'Gueuze', 'Witbier', 'Dubbel abdij']	[]
400lb_midget	['Tripel']	[]
40ounce	['Tripel']	[]
40oz	['Amber ale', 'Fruitbier']	[]
41cubs	['Tripel']	[]
48FanInCali	['Quadrupel', 'Tripel', 'Dubbel abdij']	[]
49degrees	['Saison']	[]
4theloveofbeer	['Aperitiefbier']	[]
5000	['Dubbel', 'Tripel', 'Blond', 'Sterke ale', 'Rood bruin', 'Gueuze', 'Ale', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Fruitbier', 'Pils']
502Flavors	['Quadrupel', 'Tripel', 'Sterke ale']	[]
505	['Quadrupel', 'Tripel', 'Sterke ale']	[]
50belair	['Quadrupel', 'Gueuze', 'Sterke ale', nan]	[]
77ships	['Fruitbier', 'Tripel', 'Blond', 'Sterke ale', 'IPA', 'Rood bruin', 'Barley wine', 'Ale', 'Fruitbier passie', 'Gueuze', 'Vlaams roodbruin', 'Dubbel abdij', 'Aperitiefbier']	['Fruitbier', 'Donker abdij', 'Wilde ale']
80skid	['Sterke ale']	[]
944play	['Quadrupel', 'Dubbel', 'IPA', 'Donker']	[]
9er	['Sterke ale']	[]
AAO	['Quadrupel', 'Dubbel abdij']	[]
AARomanov	['Tripel', 'Dubbel abdij']	[]
ABS	['Tripel']	[]
ABUSEDGOAT	['Quadrupel', 'Tripel', 'Donker', 'Sterke ale', 'Amber ale', 'Dubbel abdij', 'Aperitiefbier']	[]
ADesenberg	['Tripel', 'Witbier']	[]
ADfan	['Amber ale']	[]
AGAquino	[]	[]
ALLOVATE	['Quadrupel', 'Sterke ale amber', 'Tripel', 'Blond', 'Dubbel', 'Donker', 'Sterke ale', 'Rood bruin', 'Sterke ale blond']	['Pils', 'Gueuze']
AOF	['Sterke ale']	[]
AR	['Quadrupel', 'Sterke ale', 'Dubbel abdij']	[]
ARMed	['Kerstbier blond', 'Kruidenbier', 'Tripel', 'Donker', 'Witbier']	[]
ATLBeerDog	['Quadrupel', 'Rood bruin']	[]
ATOmemphis	['Sterke ale']	[]
AWMiller	['Quadrupel', 'Tripel', 'Sterke ale']	[]
AWS9	['Amber ale', 'Tripel', 'Sterke ale']	[]
Aarleks	['Amber ale', 'Scotch', 'Sterke ale']	[]
Aaron18	['Ale']	[]
AaronBouchard	[]	[]
