beer_name	beer_style	username	taste_rating
Daas Ambré	Amber	TheJestersBeer	6
Daas Ambré	Amber	Svesse	6
Daas Ambré	Amber	Ungstrup	6
Daas Ambré	Amber	fiulijn	6
Daas Ambré	Amber	cgarvieuk	6
Daas Ambré	Amber	oh6gdx	6
Daas Ambré	Amber	Papsoe	6
Daas Ambré	Amber	joergen	4
Daas Blond	Blond	maeib	5
Daas Blond	Blond	gnoff	6
Daas Blond	Blond	rlgk	5
Daas Blond	Blond	Svesse	6
Daas Blond	Blond	joergen	6
Daas Blond	Blond	harrisoni	6
Daas Blond	Blond	KnutAlbert	7
Daas Blond	Blond	Hugh	7
Daas Blond	Blond	wyzzywyz22	5
Daas Blond	Blond	KimJohansen	6
Daas Blond	Blond	MiP	7
Daas Blond	Blond	DonMagi	7
Daas Blond	Blond	Fin	4
Daas Blond	Blond	PJClarke	6
Ribeaubière	None	fiulijn	7
Ne Kopstoot	Ale	Borup	7
Ne Kopstoot	Ale	NoiZe	7
Ne Kopstoot	Ale	Benzai	7
Ne Kopstoot	Ale	psilosophy	6
Ne Kopstoot	Ale	altonbrownd	7
Ne Kopstoot	Ale	Abio	6
Ne Kopstoot	Ale	oh6gdx	6
Ne Kopstoot	Ale	Fin	6
Ne Kopstoot	Ale	faroeviking	7
Ne Kopstoot	Ale	yespr	6
Ne Kopstoot	Ale	Yves	7
Ne Kopstoot	Ale	DruncanVeasey	6
Ne Kopstoot	Ale	BoBoChamp	5
Ne Kopstoot	Ale	MiP	7
Ne Kopstoot	Ale	JoeinEscazú	8
Ne Kopstoot	Ale	Jerre	6
Ne Kopstoot	Ale	JorisPPattyn	7
Ne Kopstoot	Ale	Papsoe	5
Ne Kopstoot	Ale	diabel	5
Ne Kopstoot	Ale	rlgk	6
Ne Kopstoot	Ale	Hildigöltur	5
Ne Kopstoot	Ale	bierkoning	7
Ne Kopstoot	Ale	caesar	7
Ne Kopstoot	Ale	jerohen	8
Ne Kopstoot	Ale	omhper	6
Ne Kopstoot	Ale	jbrus	7
Daas Witte	Witbier	TheJestersBeer	6
Daas Witte	Witbier	Ungstrup	6
Daas Witte	Witbier	fiulijn	6
Daas Witte	Witbier	fonefan	6
Daas Witte	Witbier	Svesse	6
Daas Witte	Witbier	Papsoe	7
Daas Witte	Witbier	yespr	6
Daas Witte	Witbier	johninmelb	5
Daas Witte	Witbier	Bov	5
Palm Green	Low Alcoholic Beer	Yves	3
Palm Green	Low Alcoholic Beer	txspartan	3
Palm Green	Low Alcoholic Beer	bierkoning	3
Palm Green	Low Alcoholic Beer	heavy	1
Palm Green	Low Alcoholic Beer	Abio	4
Palm Green	Low Alcoholic Beer	halfonit	3
Palm Green	Low Alcoholic Beer	NoiZe	4
Palm Green	Low Alcoholic Beer	duff	4
Palm Green	Low Alcoholic Beer	Dedollewaitor	3
Palm Green	Low Alcoholic Beer	KimJohansen	3
Palm Green	Low Alcoholic Beer	faroeviking	6
Palm Green	Low Alcoholic Beer	ogivlado	5
Palm Green	Low Alcoholic Beer	note666	3
Palm Green	Low Alcoholic Beer	omhper	3
Palm Green	Low Alcoholic Beer	Jerre	4
Palm Green	Low Alcoholic Beer	TrefwoordPunk	3
Palm Green	Low Alcoholic Beer	fonefan	3
Palm Green	Low Alcoholic Beer	oh6gdx	5
Palm Green	Low Alcoholic Beer	gnoff	2
Palm Green	Low Alcoholic Beer	oberabcbbsok	4
Palm Green	Low Alcoholic Beer	MiP	6
Palm Green	Low Alcoholic Beer	sayravai	5
Palm Green	Low Alcoholic Beer	Bart	2
Palm Green	Low Alcoholic Beer	Sten	4
Palm Green	Low Alcoholic Beer	Herculescf	2
Palm Green	Low Alcoholic Beer	dortmunder	3
Palm Green	Low Alcoholic Beer	JorisPPattyn	3
Palm Green	Low Alcoholic Beer	jerohen	2
Palm Green	Low Alcoholic Beer	Hildigöltur	4
Palm Green	Low Alcoholic Beer	Kåstå	7
Palm Green	Low Alcoholic Beer	OlJuntan64	6
Palm Sauvin	Blond	PotjeBier	6
Palm Sauvin	Blond	JanEric	6
Palm Sauvin	Blond	Wim	4
Palm Sauvin	Blond	chrisv10	5
Palm Sauvin	Blond	DutchDrebus	6
Palm Sauvin	Blond	Countbeer	4
Palm Sauvin	Blond	Martinus	5
Brugge Blond	Blond	Zita	5
Brugge Blond	Blond	hawthorne00	7
Brugge Blond	Blond	Davros	6
Brugge Blond	Blond	TheGrandMaster	5
Brugge Blond	Blond	Pyobon	7
Brugge Blond	Blond	skortila	6
Brugge Blond	Blond	Christian	7
Brugge Blond	Blond	donfardz64	6
Brugge Blond	Blond	Yves	7
Brugge Blond	Blond	Wim	7
Brugge Blond	Blond	charlotte	6
Brugge Blond	Blond	faroeviking	5
Brugge Blond	Blond	thewolf	5
Brugge Blond	Blond	madquacker	6
Brugge Blond	Blond	Lunkie	5
Brugge Blond	Blond	highlandlad	5
Brugge Blond	Blond	fonefan	6
Brugge Blond	Blond	Marsiblursi	6
Brugge Blond	Blond	DSG	5
Brugge Blond	Blond	larsniclas	6
Brugge Blond	Blond	oberabcbbsok	4
Brugge Blond	Blond	Maria	5
Brugge Blond	Blond	Muggus69	7
Brugge Blond	Blond	omhper	5
Brugge Blond	Blond	KnutAlbert	5
Brugge Blond	Blond	Borup	5
Brugge Blond	Blond	Cornfield	7
Brugge Blond	Blond	ogivlado	6
Brugge Blond	Blond	Hansen	8
Brugge Blond	Blond	Storm	8
Brugge Blond	Blond	Emil	6
Brugge Blond	Blond	JorisPPattyn	6
Brugge Blond	Blond	ThomasE	6
Brugge Blond	Blond	JensenTaster	5
Brugge Blond	Blond	hughie	6
Brugs Blond	Blond	lebshiff21	7
Brugs Blond	Blond	mike1977ok	7
Brugs Blond	Blond	Furseth	7
Brugs Blond	Blond	ALLOVATE	6
Brugs Blond	Blond	Ungstrup	4
Brugs Blond	Blond	skortila	7
Brugs Blond	Blond	Papsoe	6
Brugs Blond	Blond	pivo	5
Brugs Blond	Blond	TaktikMTL	5
Brugs Blond	Blond	lachesis	5
Brugs Blond	Blond	DanielBrown	8
Brugs Blond	Blond	bitter	6
Brugs Blond	Blond	Nate	6
Brugs Blond	Blond	Eyedrinkale	6
Brugs Blond	Blond	Linc	7
Brugs Blond	Blond	Kåstå	4
Brugs Blond	Blond	davidoc	7
Brugs Blond	Blond	fiulijn	7
Brugs Blond	Blond	Bloemart	7
Brugs Blond	Blond	caesar	7
Brugs Blond	Blond	Rogier	8
Steenbrugge Wit	Witbier	fonefan	6
Steenbrugge Wit	Witbier	bhensonb	6
Steenbrugge Wit	Witbier	alobar	7
Steenbrugge Wit	Witbier	bu11zeye	4
Steenbrugge Wit	Witbier	PolishHammer	6
Steenbrugge Wit	Witbier	sayravai	5
Steenbrugge Wit	Witbier	PJClarke	6
Steenbrugge Wit	Witbier	oldrtybastrd	4
Steenbrugge Wit	Witbier	cellar	6
Steenbrugge Wit	Witbier	SHIG	6
Steenbrugge Wit	Witbier	BoBoChamp	5
Steenbrugge Wit	Witbier	Wim	7
Steenbrugge Wit	Witbier	TBone	5
Steenbrugge Wit	Witbier	Yves	5
Steenbrugge Wit	Witbier	bierkoning	6
Steenbrugge Wit	Witbier	oh6gdx	4
Steenbrugge Wit	Witbier	Jerre	6
Steenbrugge Wit	Witbier	altonbrownd	7
Steenbrugge Wit	Witbier	heavy	2
Steenbrugge Wit	Witbier	Marko	2
Steenbrugge Wit	Witbier	williamstome	6
Steenbrugge Wit	Witbier	Shaney	5
Steenbrugge Wit	Witbier	JK	4
Steenbrugge Wit	Witbier	marcot	6
Steenbrugge Wit	Witbier	Benzai	7
Steenbrugge Wit	Witbier	nick76	6
Steenbrugge Wit	Witbier	MMR	6
Steenbrugge Wit	Witbier	radagast83	6
Steenbrugge Wit	Witbier	ectuohy27	6
Steenbrugge Wit	Witbier	madmitch76	6
Steenbrugge Wit	Witbier	Leighton	6
Steenbrugge Wit	Witbier	EdKing	6
Steenbrugge Wit	Witbier	prawlie	4
Steenbrugge Wit	Witbier	psilosophy	6
Steenbrugge Wit	Witbier	otakuden	6
Steenbrugge Wit	Witbier	turbothy	6
Steenbrugge Wit	Witbier	imdownthepub	5
Steenbrugge Wit	Witbier	kevd193213	3
Steenbrugge Wit	Witbier	dutchbeerpages	7
Steenbrugge Wit	Witbier	OleR	7
Steenbrugge Wit	Witbier	sm89walt	7
Steenbrugge Wit	Witbier	Muggus69	8
Steenbrugge Wit	Witbier	Finwe	6
Steenbrugge Wit	Witbier	ChainGangGuy	4
Steenbrugge Wit	Witbier	yngwie	6
Steenbrugge Wit	Witbier	yemenmocha	4
Steenbrugge Wit	Witbier	thewolf	5
Steenbrugge Wit	Witbier	yespr	6
Steenbrugge Wit	Witbier	rakkasan	7
Steenbrugge Wit	Witbier	Jukkabro	6
Steenbrugge Wit	Witbier	Taverner	7
